fp;pca;best_val_auc;crossval_auc;crossval_auc_std;best_params
ecfp0;50;0.8058873414993286;0.8292126753330231;0.047334156961258644;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 100}
ecfp6;50;0.8539305925369263;0.8478383731842041;0.04451661395212451;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
ecfp4_maccs;50;0.825812578201294;0.8644234313964844;0.04507766500023166;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
maccs;0;0.9002260565757751;0.8447061076164245;0.0588641462838716;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 83, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 50}
ecfp2;50;0.8916460275650024;0.8266050144433975;0.05773548048670389;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
maccs;50;0.8422495722770691;0.837215327501297;0.05550562041338856;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
avalon;50;0.850726842880249;0.8656753927469254;0.046864152497290326;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
rdk7;50;0.8775742053985596;0.8526142829656601;0.04657860818006053;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
rdk5;50;0.8513200283050537;0.8565754951238632;0.05476654290223991;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
ecfp4;50;0.9038357734680176;0.8492286169528961;0.04320386812967389;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 10}
fcfp6;50;0.8770275115966797;0.8602848035097123;0.03436347534418745;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 10}
hashap;50;0.9008058309555054;0.8744510114192963;0.035994987761521664;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
hashtt;50;0.8944956064224243;0.8584023064374924;0.04581611382245334;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
ecfp6;20;0.8538020849227905;0.8223386445045471;0.06295367041860574;{'activation': 'relu', 'first_neuron': 10, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 5, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
ecfp0;20;0.8690637946128845;0.8241397209763527;0.051761040198517266;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 100}
ecfp2;20;0.8668600916862488;0.8452848440408707;0.05776400680929234;{'activation': 'relu', 'first_neuron': 10, 'first_dropout': 0.0, 'second_neuron': 10, 'second_dropout': 0.0, 'third_neuron': 10, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
