fp;pca;best_val_auc;crossval_auc;crossval_auc_std;best_params
maccs;0;0.8001860976219177;0.7994908292889595;0.05055821266891111;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 41, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 100}
maccs;50;0.7774043083190918;0.7997153854966164;0.04813485622743592;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 100}
eigenvals;50;0.6687223315238953;0.5050345388054848;0.009291023834283511;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
ecfp4;50;0.7354093790054321;0.7846109815835953;0.04672965795980758;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
fcfp6;50;0.756702184677124;0.7666942373514175;0.06073778352932983;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
hashtt;50;0.7353643178939819;0.7810382169485092;0.04020746442023915;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 50}
ecfp4_maccs;50;0.7832090854644775;0.8161689268350601;0.04476292501224583;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
avalon;50;0.7804607152938843;0.8022215276956558;0.03875574384762198;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
rdk6;50;0.7830361127853394;0.786027305841446;0.0392938918272207;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 50}
ecfp6;50;0.7449057102203369;0.7805341206789017;0.04571642169217193;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
rdk5;50;0.782049834728241;0.7946344338655472;0.03615837533305029;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
hashap;50;0.7805664539337158;0.7921835150718689;0.03738872502686727;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
eigenvals;0;0.6566274166107178;0.49944881796836854;0.002103486944916364;{'activation': 'relu', 'first_neuron': 32, 'first_dropout': 0.5, 'second_neuron': 32, 'second_dropout': 0.5, 'third_neuron': 65, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
rdkit_descr;0;0.8576676845550537;0.5779545591473579;0.09004300751436224;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 51, 'second_dropout': 0.0, 'third_neuron': 103, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 100}
fcfp4;50;0.7663991451263428;0.79147698199749;0.03739157511310449;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
eigenvals;20;0.6692176461219788;0.5887675169110298;0.05399702323157184;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
rdk7;50;0.7855411171913147;0.7744387757778167;0.04836705531501697;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
ecfp2;50;0.7626649141311646;0.7681508285999298;0.04620203784078116;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
