fp;pca;best_val_auc;crossval_auc;crossval_auc_std;best_params
rdkit_descr;0;0.8018628358840942;0.46997059375047684;0.06878258120548587;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 103, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
hashap;50;0.7132384777069092;0.7381461864709854;0.060801460319640524;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
maccs;0;0.8048734664916992;0.8024999368190765;0.040703661070879665;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 41, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 10}
fcfp6;50;0.7429656982421875;0.755717824101448;0.04975134950143205;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
eigenvals;0;0.6474460363388062;0.5515443848371506;0.08830861521055437;{'activation': 'relu', 'first_neuron': 65, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
maccs;50;0.7697458863258362;0.721706376671791;0.06962821258333704;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
ecfp4;50;0.710995078086853;0.6971728091835976;0.08623206190200053;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 100}
fcfp2;50;0.6886579990386963;0.7159617590904236;0.03370165425042236;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 12, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
eigenvals;50;0.694391667842865;0.5138231766223907;0.04834888959959692;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 100, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
fcfp4;50;0.7200568318367004;0.7390271019935608;0.05279200824433851;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 100, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
rdk5;50;0.7175883054733276;0.7316485034227371;0.058959762859855436;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 50}
fcfp6;20;0.7008267045021057;0.6984003610014915;0.05564126919086106;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 5, 'second_dropout': 0.0, 'third_neuron': 5, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 100}
maccs;20;0.7477566003799438;0.733870270729065;0.05621862398214398;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.0, 'third_neuron': 5, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
hashtt;50;0.713146448135376;0.7150741711854934;0.0759492453340151;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 25, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
ecfp2;50;0.741617739200592;0.7092816412448884;0.06967333512234244;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 50}
ecfp0;50;0.75501549243927;0.752757363319397;0.051117022384042476;{'activation': 'relu', 'first_neuron': 12, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 10}
avalon;50;0.7797226905822754;0.7800961577892304;0.030429302331595066;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
rdk6;50;0.7596019506454468;0.7535695892572403;0.04616522337393149;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 50, 'second_dropout': 0.5, 'third_neuron': 12, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
ecfp6;50;0.7404199838638306;0.7269953793287277;0.04591681871213843;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.0, 'second_neuron': 12, 'second_dropout': 0.0, 'third_neuron': 25, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
rdk7;50;0.762861967086792;0.7439934951066971;0.04159283765642283;{'activation': 'relu', 'first_neuron': 25, 'first_dropout': 0.5, 'second_neuron': 25, 'second_dropout': 0.5, 'third_neuron': 25, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 10}
eigenvals;20;0.7012698650360107;0.5006544487774373;0.009257410227900551;{'activation': 'relu', 'first_neuron': 10, 'first_dropout': 0.0, 'second_neuron': 5, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 100}
hashap;20;0.7331770062446594;0.6944511337280274;0.06374683725545356;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.5, 'second_neuron': 10, 'second_dropout': 0.0, 'third_neuron': 10, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 100}
ecfp4;20;0.7237792611122131;0.6903427305221558;0.047743572519195095;{'activation': 'relu', 'first_neuron': 5, 'first_dropout': 0.0, 'second_neuron': 10, 'second_dropout': 0.5, 'third_neuron': 5, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 100}
rdkit_descr;20;0.7111678123474121;0.5002785425782204;0.00039245842779687934;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 10, 'third_dropout': 0.0, 'batch_size': 64, 'epochs': 100}
ecfp6;20;0.6914992928504944;0.6831870681047439;0.049539536916761065;{'activation': 'relu', 'first_neuron': 100, 'first_dropout': 0.0, 'second_neuron': 100, 'second_dropout': 0.0, 'third_neuron': 5, 'third_dropout': 0.0, 'batch_size': 128, 'epochs': 10}
ecfp2;20;0.7060518264770508;0.7126563953757286;0.048737069021311176;{'activation': 'relu', 'first_neuron': 5, 'first_dropout': 0.0, 'second_neuron': 10, 'second_dropout': 0.5, 'third_neuron': 5, 'third_dropout': 0.5, 'batch_size': 128, 'epochs': 100}
ecfp0;20;0.7304226756095886;0.6941855056285858;0.04689058892571272;{'activation': 'relu', 'first_neuron': 50, 'first_dropout': 0.0, 'second_neuron': 10, 'second_dropout': 0.5, 'third_neuron': 50, 'third_dropout': 0.5, 'batch_size': 64, 'epochs': 50}
